date,open,close,high,low,p_n_l
2023-12-17,42295.41163609,41645.4711294,42530.16067405,41224.13142506,-1.79195421
2023-12-16,41903.71940147,42405.35568668,42773.25103801,41783.00953248,0.50502538
2023-12-15,43245.13705944,42192.2739942,43654.29965999,41903.718,-2.4346392299999997
2023-12-14,42715.76393376,43245.13706665,44067.11804435,41903.7180001,0.7927679
2023-12-13,41582.18421048,42905.00000004,43567.99999995,40694.1825301,3.18120805
2023-12-12,41496.35030625,41582.18421048,42237.31760615,40771.82737177,0.2068468799999999
2023-12-11,43563.354343,41496.35030625,43806.97117899,40339.766027,-5.27455063
2023-12-10,43716.34713114,43806.97118193,44151.26450023,43394.45313947,0.2073001399999999
2023-12-09,43917.02861821,43716.34713114,44493.28882674,43341.04460744,-1.55026575
2023-12-08,43026.80513535,44404.73858645,44411.51437085,42236.02880576,2.3811182
2023-12-07,43754.08591345,43371.99999999,44803.51720168,42892.19858155,-0.87325768
2023-12-06,44314.2292417,43754.08591345,44790.51940143,43283.1420029,-1.0183691
2023-12-05,41730.6639074,44204.24831981,44400.0,41246.36320444,5.92752678
2023-12-04,39823.85639915,41730.65270581,42160.0,39823.85639915,4.326631764525
2023-12-03,39100.00000303,40000.0,40000.0,39061.74556338,0.55471776
2023-12-02,38969.08179042,39779.33695379,39779.95739833,37831.86208006,2.07856701
2023-12-01,38200.06829656,38969.33324723,38969.34247126,37635.64000004,2.00765458
2023-11-30,37708.62698525,38202.36178094,38210.38878878,37537.6151944,-0.02152401
2023-11-29,37606.89687654,38210.58623294,38212.0,37537.61519437,0.24493118
2023-11-28,37150.0000001,38117.22526353,38117.33213943,36734.7359,2.0541544700000003
2023-11-27,37680.19014387,37349.99859959,37847.01410951,36980.85,-0.8763000999999999
2023-11-26,37382.96151732,37680.19014446,38175.01979999,37247.00000008,-1.075706
2023-11-25,37446.31554149,38089.92575999,38198.85321106,37321.14523659,-0.18828744
2023-11-24,37338.0599662,38161.77959905,38411.99579876,36745.79658008,2.16405869
2023-11-23,37579.9489827,37353.42946332,37696.72998423,36745.79498,-0.60276856
2023-11-22,36072.00214843,37579.94958276,37601.0,36000.0,2.41203349
2023-11-21,37361.5660719,36694.85733433,37566.09999995,36236.86430422,-2.14704711
2023-11-20,37250.28813871,37500.0,37500.0,36433.02590986,0.67036223
2023-11-19,36334.23289577,37250.28813871,37300.0,36236.8643042,2.59413253
2023-11-18,36302.84813087,36308.4001184,36877.46548022,36060.41073677,-0.2516480299999999
2023-11-17,36392.64027971,36400.0,37111.89105999,35758.00040008,0.0202231
2023-11-16,37592.10795417,36392.64027971,37710.99999995,35825.44962056,-3.4450547499999997
